"Line","Hybrid_Name","Env","SN","PTR","SB"
"SEEDFHB000365","SEEDFHB000365","Env1",4,4,7
"SEEDFHB000366","SEEDFHB000366","Env1",4,7,4
"SEEDFHB000367","SEEDFHB000367","Env1",9,10,4
"SEEDFHB000368","SEEDFHB000368","Env1",6,10,0
"SEEDFHB000369","SEEDFHB000369","Env1",4,4,4
"SEEDFHB000370","SEEDFHB000370","Env1",4,0,4
"SEEDFHB000371","SEEDFHB000371","Env1",4,5,4
"SEEDFHB000372","SEEDFHB000372","Env1",7,14,4
"SEEDFHB000373","SEEDFHB000373","Env1",6,7,4
"SEEDFHB000374","SEEDFHB000374","Env1",5,0,5
"SEEDFHB000375","SEEDFHB000375","Env1",7,0,4
"SEEDFHB000376","SEEDFHB000376","Env1",4,0,4
"SEEDFHB000377","SEEDFHB000377","Env1",9,0,4
"SEEDFHB000378","SEEDFHB000378","Env1",7,13,4
"SEEDFHB000379","SEEDFHB000379","Env1",4,18,4
"SEEDFHB000380","SEEDFHB000380","Env1",18,18,4
"SEEDFHB000381","SEEDFHB000381","Env1",10,6,6
"SEEDFHB000382","SEEDFHB000382","Env1",10,13,4
"SEEDFHB000383","SEEDFHB000383","Env1",10,10,4
"SEEDFHB000384","SEEDFHB000384","Env1",14,9,4
"SEEDFHB000385","SEEDFHB000385","Env1",18,7,4
"SEEDFHB000386","SEEDFHB000386","Env1",4,6,4
"SEEDFHB000387","SEEDFHB000387","Env1",3,0,4
"SEEDFHB000388","SEEDFHB000388","Env1",19,9,4
"SEEDFHB000389","SEEDFHB000389","Env1",4,11,4
"SEEDFHB000390","SEEDFHB000390","Env1",4,5,3
"SEEDFHB000391","SEEDFHB000391","Env1",6,6,2
"SEEDFHB000392","SEEDFHB000392","Env1",5,4,4
"SEEDFHB000393","SEEDFHB000393","Env1",4,13,5
"SEEDFHB000394","SEEDFHB000394","Env1",4,10,7
"SEEDFHB000395","SEEDFHB000395","Env1",4,10,6
"SEEDFHB000396","SEEDFHB000396","Env1",4,6,4
"SEEDFHB000397","SEEDFHB000397","Env1",14,5,0
"SEEDFHB000398","SEEDFHB000398","Env1",5,4,4
"SEEDFHB000399","SEEDFHB000399","Env1",4,9,4
"SEEDFHB000400","SEEDFHB000400","Env1",4,5,7
"SEEDFHB000401","SEEDFHB000401","Env1",5,5,4
"SEEDFHB000402","SEEDFHB000402","Env1",4,4,4
"SEEDFHB000403","SEEDFHB000403","Env1",15,4,4
"SEEDFHB000404","SEEDFHB000404","Env1",11,11,7
"SEEDFHB000405","SEEDFHB000405","Env1",2,0,4
"SEEDFHB000406","SEEDFHB000406","Env1",4,14,7
"SEEDFHB000407","SEEDFHB000407","Env1",5,0,4
"SEEDFHB000408","SEEDFHB000408","Env1",4,0,4
"SEEDFHB000409","SEEDFHB000409","Env1",2,8,4
"SEEDFHB000410","SEEDFHB000410","Env1",9,11,4
"SEEDFHB000411","SEEDFHB000411","Env1",6,11,7
"SEEDFHB000412","SEEDFHB000412","Env1",5,5,4
"SEEDFHB000413","SEEDFHB000413","Env1",4,13,4
"SEEDFHB000414","SEEDFHB000414","Env1",5,6,4
"SEEDFHB000415","SEEDFHB000415","Env1",5,0,6
"SEEDFHB000416","SEEDFHB000416","Env1",4,3,4
"SEEDFHB000417","SEEDFHB000417","Env1",4,2,4
"SEEDFHB000418","SEEDFHB000418","Env1",4,4,11
"SEEDFHB000419","SEEDFHB000419","Env1",4,3,4
"SEEDFHB000420","SEEDFHB000420","Env1",4,3,2
"SEEDFHB000421","SEEDFHB000421","Env1",10,4,4
"SEEDFHB000422","SEEDFHB000422","Env1",5,5,4
"SEEDFHB000423","SEEDFHB000423","Env1",8,4,4
"SEEDFHB000424","SEEDFHB000424","Env1",5,4,4
"SEEDFHB000425","SEEDFHB000425","Env1",6,4,4
"SEEDFHB000426","SEEDFHB000426","Env1",4,5,4
"SEEDFHB000427","SEEDFHB000427","Env1",3,8,4
"SEEDFHB000428","SEEDFHB000428","Env1",15,7,4
"SEEDFHB000429","SEEDFHB000429","Env1",4,0,4
"SEEDFHB000430","SEEDFHB000430","Env1",7,4,4
"SEEDFHB000431","SEEDFHB000431","Env1",4,7,4
"SEEDFHB000432","SEEDFHB000432","Env1",4,4,6
"SEEDFHB000433","SEEDFHB000433","Env1",11,14,4
"SEEDFHB000434","SEEDFHB000434","Env1",4,5,4
"SEEDFHB000435","SEEDFHB000435","Env1",15,11,4
"SEEDFHB000436","SEEDFHB000436","Env1",4,10,4
"SEEDFHB000437","SEEDFHB000437","Env1",4,5,4
"SEEDFHB000438","SEEDFHB000438","Env1",4,5,4
"SEEDFHB000439","SEEDFHB000439","Env1",4,0,4
"SEEDFHB000440","SEEDFHB000440","Env1",4,7,4
"SEEDFHB000441","SEEDFHB000441","Env1",4,4,4
"SEEDFHB000442","SEEDFHB000442","Env1",4,4,7
"SEEDFHB000443","SEEDFHB000443","Env1",4,4,10
"SEEDFHB000444","SEEDFHB000444","Env1",4,2,4
"SEEDFHB000445","SEEDFHB000445","Env1",7,11,4
"SEEDFHB000446","SEEDFHB000446","Env1",8,4,4
"SEEDFHB000447","SEEDFHB000447","Env1",6,4,3
"SEEDFHB000448","SEEDFHB000448","Env1",8,3,8
"SEEDFHB000449","SEEDFHB000449","Env1",10,4,7
"SEEDFHB000450","SEEDFHB000450","Env1",7,7,6
"SEEDFHB000451","SEEDFHB000451","Env1",11,5,5
"SEEDFHB000452","SEEDFHB000452","Env1",2,15,4
"SEEDFHB000453","SEEDFHB000453","Env1",10,10,7
"SEEDFHB000454","SEEDFHB000454","Env1",4,3,2
"SEEDFHB000455","SEEDFHB000455","Env1",5,0,4
"SEEDFHB000456","SEEDFHB000456","Env1",8,9,3
"SEEDFHB000457","SEEDFHB000457","Env1",15,4,9
"SEEDFHB000458","SEEDFHB000458","Env1",5,1,4
"SEEDFHB000459","SEEDFHB000459","Env1",4,4,3
"SEEDFHB000460","SEEDFHB000460","Env1",11,4,7
"SEEDFHB000461","SEEDFHB000461","Env1",5,5,3
"SEEDFHB000462","SEEDFHB000462","Env1",4,5,6
"SEEDFHB000463","SEEDFHB000463","Env1",6,6,8
"SEEDFHB000464","SEEDFHB000464","Env1",3,5,7
"SEEDFHB000465","SEEDFHB000465","Env1",9,10,6
"SEEDFHB000466","SEEDFHB000466","Env1",9,17,4
"SEEDFHB000467","SEEDFHB000467","Env1",4,13,4
"SEEDFHB000468","SEEDFHB000468","Env1",4,4,5
"SEEDFHB000469","SEEDFHB000469","Env1",0,6,5
"SEEDFHB000470","SEEDFHB000470","Env1",4,6,6
"SEEDFHB000471","SEEDFHB000471","Env1",4,4,5
"SEEDFHB000472","SEEDFHB000472","Env1",5,4,0
"SEEDFHB000473","SEEDFHB000473","Env1",4,4,0
"SEEDFHB000474","SEEDFHB000474","Env1",4,4,4
"SEEDFHB000475","SEEDFHB000475","Env1",5,8,4
"SEEDFHB000476","SEEDFHB000476","Env1",9,8,4
"SEEDFHB000477","SEEDFHB000477","Env1",8,3,5
"SEEDFHB000478","SEEDFHB000478","Env1",9,14,11
"SEEDFHB000479","SEEDFHB000479","Env1",4,10,7
"SEEDFHB000480","SEEDFHB000480","Env1",4,6,6
"SEEDFHB000481","SEEDFHB000481","Env1",8,10,0
"SEEDFHB000482","SEEDFHB000482","Env1",4,0,7
"SEEDFHB000483","SEEDFHB000483","Env1",10,19,11
"SEEDFHB000484","SEEDFHB000484","Env1",5,0,11
"SEEDFHB000485","SEEDFHB000485","Env1",7,6,10
"SEEDFHB000486","SEEDFHB000486","Env1",11,15,11
"SEEDFHB000487","SEEDFHB000487","Env1",5,11,12
"SEEDFHB000488","SEEDFHB000488","Env1",14,11,9
"SEEDFHB000489","SEEDFHB000489","Env1",19,10,15
"SEEDFHB000490","SEEDFHB000490","Env1",4,5,4
"SEEDFHB000491","SEEDFHB000491","Env1",4,2,6
"SEEDFHB000492","SEEDFHB000492","Env1",4,3,9
"SEEDFHB000493","SEEDFHB000493","Env1",4,11,10
"SEEDFHB000494","SEEDFHB000494","Env1",6,0,13
"SEEDFHB000495","SEEDFHB000495","Env1",6,0,14
"SEEDFHB000496","SEEDFHB000496","Env1",5,5,4
"SEEDFHB000497","SEEDFHB000497","Env1",4,0,6
"SEEDFHB000498","SEEDFHB000498","Env1",4,3,4
"SEEDFHB000499","SEEDFHB000499","Env1",4,7,7
"SEEDFHB000500","SEEDFHB000500","Env1",4,5,6
"SEEDFHB000501","SEEDFHB000501","Env1",4,0,10
"SEEDFHB000502","SEEDFHB000502","Env1",6,4,14
"SEEDFHB000503","SEEDFHB000503","Env1",11,2,14
"SEEDFHB000504","SEEDFHB000504","Env1",10,0,13
"SEEDFHB000505","SEEDFHB000505","Env1",14,5,5
"SEEDFHB000506","SEEDFHB000506","Env1",15,7,13
"SEEDFHB000507","SEEDFHB000507","Env1",5,15,11
"SEEDFHB000508","SEEDFHB000508","Env1",0,4,4
"SEEDFHB000509","SEEDFHB000509","Env1",7,2,7
"SEEDFHB000510","SEEDFHB000510","Env1",3,3,7
"SEEDFHB000511","SEEDFHB000511","Env1",4,4,13
"SEEDFHB000512","SEEDFHB000512","Env1",8,4,7
"SEEDFHB000513","SEEDFHB000513","Env1",5,5,7
"SEEDFHB000514","SEEDFHB000514","Env1",5,7,4
"SEEDFHB000515","SEEDFHB000515","Env1",6,0,7
"SEEDFHB000516","SEEDFHB000516","Env1",8,4,9
"SEEDFHB000517","SEEDFHB000517","Env1",14,3,6
"SEEDFHB000518","SEEDFHB000518","Env1",0,0,9
"SEEDFHB000519","SEEDFHB000519","Env1",4,4,7
"SEEDFHB000520","SEEDFHB000520","Env1",7,0,4
"SEEDFHB000521","SEEDFHB000521","Env1",11,8,10
"SEEDFHB000522","SEEDFHB000522","Env1",8,2,4
"SEEDFHB000523","SEEDFHB000523","Env1",13,4,7
"SEEDFHB000524","SEEDFHB000524","Env1",4,4,9
"SEEDFHB000525","SEEDFHB000525","Env1",9,4,10
"SEEDFHB000526","SEEDFHB000526","Env1",17,7,7
"SEEDFHB000527","SEEDFHB000527","Env1",17,4,6
"SEEDFHB000528","SEEDFHB000528","Env1",6,7,7
"SEEDFHB000529","SEEDFHB000529","Env1",15,4,9
"SEEDFHB000530","SEEDFHB000530","Env1",8,2,4
"SEEDFHB000531","SEEDFHB000531","Env1",11,4,4
"SEEDFHB000532","SEEDFHB000532","Env1",17,4,10
"SEEDFHB000533","SEEDFHB000533","Env1",4,5,6
"SEEDFHB000534","SEEDFHB000534","Env1",14,10,11
"SEEDFHB000535","SEEDFHB000535","Env1",4,5,4
"SEEDFHB000536","SEEDFHB000536","Env1",0,0,4
"SEEDFHB000537","SEEDFHB000537","Env1",3,7,10
"SEEDFHB000538","SEEDFHB000538","Env1",4,5,0
"SEEDFHB000539","SEEDFHB000539","Env1",4,5,6
"SEEDFHB000540","SEEDFHB000540","Env1",15,4,3
"SEEDFHB000541","SEEDFHB000541","Env1",4,2,0
"SEEDFHB000542","SEEDFHB000542","Env1",4,11,3
"SEEDFHB000543","SEEDFHB000543","Env1",4,3,9
"SEEDFHB000544","SEEDFHB000544","Env1",0,3,9
"SEEDFHB000545","SEEDFHB000545","Env1",4,4,11
"SEEDFHB000546","SEEDFHB000546","Env1",18,3,10
"SEEDFHB000547","SEEDFHB000547","Env1",4,3,10
"SEEDFHB000548","SEEDFHB000548","Env1",0,5,9
"SEEDFHB000549","SEEDFHB000549","Env1",14,3,10
"SEEDFHB000550","SEEDFHB000550","Env1",4,4,10
"SEEDFHB000551","SEEDFHB000551","Env1",5,4,4
"SEEDFHB000552","SEEDFHB000552","Env1",7,5,7
"SEEDFHB000553","SEEDFHB000553","Env1",0,0,0
"SEEDFHB000554","SEEDFHB000554","Env1",4,4,7
"SEEDFHB000555","SEEDFHB000555","Env1",13,4,5
"SEEDFHB000556","SEEDFHB000556","Env1",0,2,4
"SEEDFHB000557","SEEDFHB000557","Env1",10,0,6
"SEEDFHB000558","SEEDFHB000558","Env1",19,11,20
"SEEDFHB000559","SEEDFHB000559","Env1",11,0,11
"SEEDFHB000560","SEEDFHB000560","Env1",0,5,13
"SEEDFHB000561","SEEDFHB000561","Env1",5,0,11
"SEEDFHB000562","SEEDFHB000562","Env1",20,15,13
"SEEDFHB000563","SEEDFHB000563","Env1",0,0,9
"SEEDFHB000564","SEEDFHB000564","Env1",20,11,20
"SEEDFHB000565","SEEDFHB000565","Env1",18,5,15
"SEEDFHB000566","SEEDFHB000566","Env1",4,4,4
"SEEDFHB000567","SEEDFHB000567","Env1",8,5,6
"SEEDFHB000568","SEEDFHB000568","Env1",4,7,10
"SEEDFHB000569","SEEDFHB000569","Env1",4,4,0
"SEEDFHB000570","SEEDFHB000570","Env1",4,4,5
"SEEDFHB000571","SEEDFHB000571","Env1",5,11,9
"SEEDFHB000572","SEEDFHB000572","Env1",2,8,4
"SEEDFHB000573","SEEDFHB000573","Env1",11,5,3
"SEEDFHB000574","SEEDFHB000574","Env1",5,8,7
"SEEDFHB000575","SEEDFHB000575","Env1",4,6,4
"SEEDFHB000576","SEEDFHB000576","Env1",4,4,4
"SEEDFHB000577","SEEDFHB000577","Env1",4,8,7
"SEEDFHB000578","SEEDFHB000578","Env1",4,7,11
"SEEDFHB000579","SEEDFHB000579","Env1",14,11,4
"SEEDFHB000580","SEEDFHB000580","Env1",4,0,7
"SEEDFHB000581","SEEDFHB000581","Env1",4,3,6
"SEEDFHB000582","SEEDFHB000582","Env1",6,7,14
"SEEDFHB000583","SEEDFHB000583","Env1",4,0,4
"SEEDFHB000584","SEEDFHB000584","Env1",11,0,2
"SEEDFHB000585","SEEDFHB000585","Env1",14,18,3
"SEEDFHB000586","SEEDFHB000586","Env1",4,6,2
"SEEDFHB000587","SEEDFHB000587","Env1",7,5,4
"SEEDFHB000588","SEEDFHB000588","Env1",4,11,4
"SEEDFHB000589","SEEDFHB000589","Env1",4,8,4
"SEEDFHB000590","SEEDFHB000590","Env1",4,8,4
"SEEDFHB000591","SEEDFHB000591","Env1",4,5,0
"SEEDFHB000592","SEEDFHB000592","Env1",4,7,4
"SEEDFHB000593","SEEDFHB000593","Env1",4,5,4
"SEEDFHB000594","SEEDFHB000594","Env1",13,19,5
"SEEDFHB000595","SEEDFHB000595","Env1",5,5,5
"SEEDFHB000596","SEEDFHB000596","Env1",10,4,11
"SEEDFHB000597","SEEDFHB000597","Env1",9,4,3
"SEEDFHB000598","SEEDFHB000598","Env1",10,4,9
"SEEDFHB000599","SEEDFHB000599","Env1",10,10,4
"SEEDFHB000600","SEEDFHB000600","Env1",7,10,10
"SEEDFHB000601","SEEDFHB000601","Env1",4,4,7
"SEEDFHB000602","SEEDFHB000602","Env1",4,3,3
"SEEDFHB000603","SEEDFHB000603","Env1",18,6,6
"SEEDFHB000604","SEEDFHB000604","Env1",18,8,4
"SEEDFHB000605","SEEDFHB000605","Env1",19,11,4
"SEEDFHB000606","SEEDFHB000606","Env1",4,4,5
"SEEDFHB000607","SEEDFHB000607","Env1",9,3,4
"SEEDFHB000608","SEEDFHB000608","Env1",7,0,5
"SEEDFHB000609","SEEDFHB000609","Env1",5,3,4
"SEEDFHB000610","SEEDFHB000610","Env1",5,0,2
"SEEDFHB000611","SEEDFHB000611","Env1",4,3,0
"SEEDFHB000612","SEEDFHB000612","Env1",6,4,4
"SEEDFHB000613","SEEDFHB000613","Env1",8,3,5
"SEEDFHB000614","SEEDFHB000614","Env1",4,4,7
"SEEDFHB000615","SEEDFHB000615","Env1",4,4,4
"SEEDFHB000616","SEEDFHB000616","Env1",4,0,4
"SEEDFHB000617","SEEDFHB000617","Env1",4,0,4
"SEEDFHB000618","SEEDFHB000618","Env1",4,4,4
"SEEDFHB000619","SEEDFHB000619","Env1",15,4,4
"SEEDFHB000620","SEEDFHB000620","Env1",7,0,14
"SEEDFHB000621","SEEDFHB000621","Env1",19,5,4
"SEEDFHB000622","SEEDFHB000622","Env1",5,4,3
"SEEDFHB000623","SEEDFHB000623","Env1",5,2,6
"SEEDFHB000624","SEEDFHB000624","Env1",4,3,4
"SEEDFHB000625","SEEDFHB000625","Env1",4,2,6
"SEEDFHB000626","SEEDFHB000626","Env1",4,2,4
"SEEDFHB000627","SEEDFHB000627","Env1",4,5,5
"SEEDFHB000628","SEEDFHB000628","Env1",4,2,5
"SEEDFHB000629","SEEDFHB000629","Env1",3,2,2
"SEEDFHB000630","SEEDFHB000630","Env1",3,2,7
"SEEDFHB000631","SEEDFHB000631","Env1",2,3,0
"SEEDFHB000632","SEEDFHB000632","Env1",0,0,2
"SEEDFHB000633","SEEDFHB000633","Env1",15,4,4
"SEEDFHB000634","SEEDFHB000634","Env1",19,5,6
"SEEDFHB000635","SEEDFHB000635","Env1",15,9,4
"SEEDFHB000636","SEEDFHB000636","Env1",17,9,11
"SEEDFHB000637","SEEDFHB000637","Env1",7,4,2
"SEEDFHB000638","SEEDFHB000638","Env1",9,5,0
"SEEDFHB000639","SEEDFHB000639","Env1",4,4,9
"SEEDFHB000640","SEEDFHB000640","Env1",11,8,4
"SEEDFHB000641","SEEDFHB000641","Env1",11,4,11
"SEEDFHB000642","SEEDFHB000642","Env1",14,7,14
"SEEDFHB000643","SEEDFHB000643","Env1",11,4,4
"SEEDFHB000644","SEEDFHB000644","Env1",6,4,4
"SEEDFHB000645","SEEDFHB000645","Env1",10,4,4
"SEEDFHB000646","SEEDFHB000646","Env1",5,4,6
"SEEDFHB000647","SEEDFHB000647","Env1",11,2,4
"SEEDFHB000648","SEEDFHB000648","Env1",13,4,7
"SEEDFHB000649","SEEDFHB000649","Env1",18,4,5
"SEEDFHB000650","SEEDFHB000650","Env1",13,4,4
"SEEDFHB000651","SEEDFHB000651","Env1",4,4,4
"SEEDFHB000652","SEEDFHB000652","Env1",4,4,5
"SEEDFHB000653","SEEDFHB000653","Env1",6,4,6
"SEEDFHB000654","SEEDFHB000654","Env1",4,4,4
"SEEDFHB000655","SEEDFHB000655","Env1",11,4,4
"SEEDFHB000656","SEEDFHB000656","Env1",10,4,4
"SEEDFHB000657","SEEDFHB000657","Env1",13,4,4
"SEEDFHB000658","SEEDFHB000658","Env1",6,5,5
"SEEDFHB000659","SEEDFHB000659","Env1",10,4,9
"SEEDFHB000660","SEEDFHB000660","Env1",15,4,4
"SEEDFHB000661","SEEDFHB000661","Env1",6,3,4
"SEEDFHB000662","SEEDFHB000662","Env1",13,4,4
"SEEDFHB000663","SEEDFHB000663","Env1",13,4,9
"SEEDFHB000664","SEEDFHB000664","Env1",4,6,4
"SEEDFHB000665","SEEDFHB000665","Env1",4,6,5
"SEEDFHB000666","SEEDFHB000666","Env1",4,4,0
"SEEDFHB000667","SEEDFHB000667","Env1",4,4,11
"SEEDFHB000668","SEEDFHB000668","Env1",4,4,3
"SEEDFHB000669","SEEDFHB000669","Env1",0,0,4
"SEEDFHB000670","SEEDFHB000670","Env1",9,9,2
"SEEDFHB000671","SEEDFHB000671","Env1",19,15,3
"SEEDFHB000672","SEEDFHB000672","Env1",9,19,4
"SEEDFHB000673","SEEDFHB000673","Env1",4,4,3
"SEEDFHB000674","SEEDFHB000674","Env1",4,4,4
"SEEDFHB000675","SEEDFHB000675","Env1",4,4,7
"SEEDFHB000676","SEEDFHB000676","Env1",0,5,4
"SEEDFHB000677","SEEDFHB000677","Env1",4,3,4
"SEEDFHB000678","SEEDFHB000678","Env1",9,8,4
"SEEDFHB000679","SEEDFHB000679","Env1",4,7,4
"SEEDFHB000680","SEEDFHB000680","Env1",4,5,13
"SEEDFHB000681","SEEDFHB000681","Env1",4,7,7
"SEEDFHB000682","SEEDFHB000682","Env1",5,6,5
"SEEDFHB000683","SEEDFHB000683","Env1",4,4,0
"SEEDFHB000684","SEEDFHB000684","Env1",13,7,4
"SEEDFHB000685","SEEDFHB000685","Env1",2,5,4
"SEEDFHB000686","SEEDFHB000686","Env1",4,5,5
"SEEDFHB000687","SEEDFHB000687","Env1",6,4,4
"SEEDFHB000688","SEEDFHB000688","Env1",4,5,4
"SEEDFHB000689","SEEDFHB000689","Env1",4,2,4
"SEEDFHB000690","SEEDFHB000690","Env1",9,4,4
"SEEDFHB000691","SEEDFHB000691","Env1",4,4,6
"SEEDFHB000692","SEEDFHB000692","Env1",4,4,11
"SEEDFHB000693","SEEDFHB000693","Env1",19,11,10
"SEEDFHB000694","SEEDFHB000694","Env1",15,9,7
"SEEDFHB000695","SEEDFHB000695","Env1",19,11,4
"SEEDFHB000696","SEEDFHB000696","Env1",18,14,4
"SEEDFHB000697","SEEDFHB000697","Env1",4,4,4
"SEEDFHB000698","SEEDFHB000698","Env1",4,9,6
"SEEDFHB000699","SEEDFHB000699","Env1",19,0,4
"SEEDFHB000700","SEEDFHB000700","Env1",15,7,3
"SEEDFHB000701","SEEDFHB000701","Env1",18,13,2
"SEEDFHB000702","SEEDFHB000702","Env1",4,7,5
"SEEDFHB000703","SEEDFHB000703","Env1",4,11,4
"SEEDFHB000704","SEEDFHB000704","Env1",4,9,4
"SEEDFHB000705","SEEDFHB000705","Env1",19,11,7
"SEEDFHB000706","SEEDFHB000706","Env1",8,4,4
"SEEDFHB000707","SEEDFHB000707","Env1",4,4,2
"SEEDFHB000708","SEEDFHB000708","Env1",9,10,3
"SEEDFHB000709","SEEDFHB000709","Env1",4,3,4
"SEEDFHB000710","SEEDFHB000710","Env1",4,0,4
"SEEDFHB000711","SEEDFHB000711","Env1",1,4,7
"SEEDFHB000712","SEEDFHB000712","Env1",4,2,7
"SEEDFHB000713","SEEDFHB000713","Env1",4,11,4
"SEEDFHB000714","SEEDFHB000714","Env1",4,6,4
"SEEDFHB000715","SEEDFHB000715","Env1",4,9,4
"SEEDFHB000716","SEEDFHB000716","Env1",10,6,4
"SEEDFHB000717","SEEDFHB000717","Env1",4,5,6
"SEEDFHB000718","SEEDFHB000718","Env1",9,4,5
"SEEDFHB000719","SEEDFHB000719","Env1",11,3,6
"SEEDFHB000720","SEEDFHB000720","Env1",4,6,6
"SEEDFHB000283","SEEDFHB000283","Env2",10,3,4
"SEEDFHB000284","SEEDFHB000284","Env2",20,14,7
"SEEDFHB000285","SEEDFHB000285","Env2",4,5,4
"SEEDFHB000286","SEEDFHB000286","Env2",7,4,6
"SEEDFHB000287","SEEDFHB000287","Env2",4,6,7
"SEEDFHB000288","SEEDFHB000288","Env2",0,4,4
"SEEDFHB000289","SEEDFHB000289","Env2",0,2,4
"SEEDFHB000290","SEEDFHB000290","Env2",4,4,5
"SEEDFHB000291","SEEDFHB000291","Env2",7,3,9
"SEEDFHB000292","SEEDFHB000292","Env2",5,5,4
"SEEDFHB000293","SEEDFHB000293","Env2",4,5,9
